iter	RMSE
0	127.4581398
1	123.7916347
2	121.036984
3	118.7674585
4	117.0585833
5	115.5250259
6	114.2800076
7	113.3594369
8	112.6066763
9	111.6524498
10	110.9079344
11	110.3530689
12	109.928453
13	109.5684613
14	109.2470315
15	108.6153467
16	108.0794885
17	107.6568082
18	107.2999284
19	106.9947771
20	106.7671299
21	106.5586566
22	106.4218392
23	106.2828365
24	106.1713516
25	106.1081672
26	106.0368299
27	105.9603416
28	105.9140461
29	105.8631946
30	105.8045346
31	105.7706602
32	105.7184589
33	105.6905766
34	105.6345832
35	105.5868759
36	105.534957
37	105.507369
38	105.4765893
39	105.4569234
40	105.4248222
41	105.4001895
42	105.3796279
43	105.3387512
44	105.3242936
45	105.2861829
46	105.2608481
47	105.2239641
48	105.1823867
49	105.1656102
50	105.1372904
51	105.1234867
52	105.1061379
53	105.0722594
54	105.0539795
55	105.0190232
56	104.9943566
57	104.9600623
58	104.9338616
59	104.9002555
60	104.8844348
61	104.8678225
62	104.8486818
63	104.8271668
64	104.8117209
65	104.7666132
66	104.7254775
67	104.7065379
68	104.6749647
69	104.6533649
70	104.6030632
71	104.566506
72	104.5310403
73	104.5101021
74	104.4926725
75	104.4776817
76	104.448748
77	104.4338733
78	104.407105
79	104.3908826
80	104.3549195
81	104.3172715
82	104.2942354
83	104.2710534
84	104.2627744
85	104.2452338
86	104.2265964
87	104.2146311
88	104.1886299
89	104.1754827
90	104.1584207
91	104.1428069
92	104.117731
93	104.0847674
94	104.0649403
95	104.0258226
96	103.9993893
97	103.970958
98	103.9366199
99	103.9175314
100	103.8885164
101	103.8723297
102	103.8454261
103	103.8142214
104	103.793101
105	103.7826596
106	103.7495652
107	103.7255256
108	103.7128442
109	103.6891969
110	103.6734178
111	103.6338138
112	103.6078191
113	103.5867954
114	103.5394244
115	103.5036186
116	103.4892579
117	103.4579263
118	103.4487419
119	103.4297247
120	103.398893
121	103.3710486
122	103.3599269
123	103.3411426
124	103.3264185
125	103.3154932
126	103.300425
127	103.2893782
128	103.2590686
129	103.2459063
130	103.2117066
131	103.1926633
132	103.1663536
133	103.1545017
134	103.1336972
135	103.1206547
136	103.1024954
137	103.0636537
138	103.0409528
139	103.0260814
140	102.9926109
141	102.9704036
142	102.952845
143	102.9248262
144	102.9108048
145	102.8914604
146	102.8782854
147	102.8637123
148	102.853855
149	102.8399963
150	102.8096999
151	102.790425
152	102.7568061
153	102.7440638
154	102.7245595
155	102.7032212
156	102.6813133
157	102.6656803
158	102.6438721
159	102.6252668
160	102.5939827
161	102.5766871
162	102.5502081
163	102.5298443
164	102.5018309
165	102.4918355
166	102.469591
167	102.4479377
168	102.4117423
169	102.4007088
170	102.3951068
171	102.3695495
172	102.3592534
173	102.3491162
174	102.3227156
175	102.3001203
176	102.2826243
177	102.2601204
178	102.246187
179	102.225166
180	102.2143559
181	102.1991561
182	102.1765785
183	102.160922
184	102.149527
185	102.1409334
186	102.132158
187	102.1132189
188	102.0997627
189	102.0805845
190	102.046847
191	102.0292421
192	102.0021798
193	101.9822948
194	101.9617076
195	101.9459995
196	101.9146647
197	101.9065344
198	101.8920011
199	101.8844919
200	101.8710155
201	101.8615299
202	101.8409887
203	101.8192977
204	101.8020498
205	101.779969
206	101.7688305
207	101.7612192
208	101.7494492
209	101.7294594
210	101.7118115
211	101.7048014
212	101.6928292
213	101.6837477
214	101.6649824
215	101.6557173
216	101.6277012
217	101.6226596
218	101.6120775
219	101.5643406
220	101.5376216
221	101.5227539
222	101.4958979
223	101.4842424
224	101.4603978
225	101.4162991
226	101.4068635
227	101.3978293
228	101.3627041
229	101.338401
230	101.3241333
231	101.3096447
232	101.2933522
233	101.2757703
234	101.2615596
235	101.254491
236	101.2313161
237	101.195243
238	101.1787073
239	101.1528959
240	101.1450131
241	101.1313897
242	101.1194242
243	101.1054387
244	101.0769361
245	101.0704057
246	101.0405324
247	101.0187529
248	100.9994117
249	100.9739372
250	100.9491697
251	100.9342036
252	100.9052408
253	100.8967035
254	100.8834474
255	100.8711903
256	100.8588218
257	100.8349457
258	100.815445
259	100.7998903
260	100.7761571
261	100.7609875
262	100.7489897
263	100.7333075
264	100.7243207
265	100.7166393
266	100.7001744
267	100.6904828
268	100.6802672
269	100.6652267
270	100.6529831
271	100.6325761
272	100.6172433
273	100.6025919
274	100.5641879
275	100.5466189
276	100.530618
277	100.5238666
278	100.51396
279	100.4912856
280	100.4748848
281	100.4693431
282	100.4588593
283	100.4429641
284	100.4290926
285	100.4145443
286	100.3997685
287	100.3819913
288	100.3633783
289	100.3482908
290	100.3336808
291	100.3281312
292	100.3045276
293	100.2982913
294	100.2891904
295	100.2670853
296	100.2599655
297	100.2509093
298	100.2359049
299	100.2249715
300	100.2157678
301	100.2021101
302	100.1853067
303	100.1622364
304	100.148702
305	100.1468518
306	100.1390649
307	100.125488
308	100.0981226
309	100.0805683
310	100.0578456
311	100.0440244
312	100.0377912
313	100.0202848
314	100.002872
315	99.98947766
316	99.97138755
317	99.95970238
318	99.9525253
319	99.92379516
320	99.90943208
321	99.89435067
322	99.88329203
323	99.86429406
324	99.85372762
325	99.84015978
326	99.82128968
327	99.80244292
328	99.77643317
329	99.76205816
330	99.74386219
331	99.72936414
332	99.7183565
333	99.70548015
334	99.69082511
335	99.68014072
336	99.66705025
337	99.63570465
338	99.63013887
339	99.62165967
340	99.61403722
341	99.5919895
342	99.58561797
343	99.57549109
344	99.56910898
345	99.55196119
346	99.54147009
347	99.52242937
348	99.51080008
349	99.49653149
